Results Table 1,,,,,,,,,,,,,,,,,
,Specimen label,,,,,,,,,,,,,,,,
2,CF-CO-5,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Results Table 2,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Time,Displacement,Force,,,,,,,,,,,,,,,
(s),(mm),(N),,,,,,,,,,,,,,,
7.3,0.1217,0.0033,,,,,,,,,,,,,,,
7.32,0.1221,0.0039,,,,,,,,,,,,,,,
7.34,0.1225,0.0032,,,,,,,,,,,,,,,
7.36,0.1227,0.003,,,,,,,,,,,,,,,
7.38,0.1229,0.0049,,,,,,,,,,,,,,,
7.4,0.1233,0.0036,,,,,,,,,,,,,,,
7.42,0.1237,0.0035,,,,,,,,,,,,,,,
7.44,0.124,0.0048,,,,,,,,,,,,,,,
7.46,0.1244,0.003,,,,,,,,,,,,,,,
7.48,0.1246,0.0042,,,,,,,,,,,,,,,
7.5,0.125,0.0026,,,,,,,,,,,,,,,
7.52,0.1254,0.0033,,,,,,,,,,,,,,,
7.54,0.1256,0.0032,,,,,,,,,,,,,,,
7.56,0.126,0.0031,,,,,,,,,,,,,,,
7.58,0.1262,0.0044,,,,,,,,,,,,,,,
7.6,0.1267,0.0042,,,,,,,,,,,,,,,
7.62,0.1269,0.0036,,,,,,,,,,,,,,,
7.64,0.1273,0.0045,,,,,,,,,,,,,,,
7.66,0.1277,0.0047,,,,,,,,,,,,,,,
7.68,0.1279,0.0036,,,,,,,,,,,,,,,
7.7,0.1283,0.0043,,,,,,,,,,,,,,,
7.72,0.1285,0.0032,,,,,,,,,,,,,,,
7.74,0.129,0.0025,,,,,,,,,,,,,,,
7.76,0.1292,0.0042,,,,,,,,,,,,,,,
7.78,0.1296,0.0024,,,,,,,,,,,,,,,
7.8,0.13,0.0038,,,,,,,,,,,,,,,
7.82,0.1302,0.0044,,,,,,,,,,,,,,,
7.84,0.1304,0.0038,,,,,,,,,,,,,,,
